gid,decision,committing_side,disadvantaged_side,call_type,season,playoff,period,time,time2,time_min,time_sec,date,home,away,home_team,away_team
21400888,INC,home,,Turnover: Traveling,2015,0,Q4,01:01.0,1.0166666666666666,1,1.0,2015-03-02,MIN,LAC,Timberwolves,Clippers
21400888,IC,away,home,Foul: Personal,2015,0,Q4,01:00.0,1.0,1,0.0,2015-03-02,MIN,LAC,Timberwolves,Clippers
21400888,CC,away,home,Foul: Personal,2015,0,Q4,00:33.3,0.5549999999999999,0,33.3,2015-03-02,MIN,LAC,Timberwolves,Clippers
21400888,INC,away,home,Foul: Loose Ball,2015,0,Q4,00:16.3,0.2716666666666666,0,16.3,2015-03-02,MIN,LAC,Timberwolves,Clippers
21400888,CC,home,away,Foul: Personal,2015,0,Q4,00:09.3,0.155,0,9.3,2015-03-02,MIN,LAC,Timberwolves,Clippers
21400892,CC,home,away,Foul: Shooting,2015,0,Q4,01:15.0,1.25,1,15.0,2015-03-03,ATL,HOU,Hawks,Rockets
21400892,CC,,,Instant Replay: Support Ruling,2015,0,Q4,00:58.6,0.9766666666666668,0,58.6,2015-03-03,ATL,HOU,Hawks,Rockets
21400892,CC,away,home,Foul: Personal,2015,0,Q4,00:58.6,0.9766666666666668,0,58.6,2015-03-03,ATL,HOU,Hawks,Rockets
21400892,CC,away,home,Foul: Personal,2015,0,Q4,00:51.7,0.8616666666666667,0,51.7,2015-03-03,ATL,HOU,Hawks,Rockets
21400892,CC,away,home,Foul: Personal,2015,0,Q4,00:33.5,0.5583333333333333,0,33.5,2015-03-03,ATL,HOU,Hawks,Rockets
21400892,CC,away,home,Foul: Personal,2015,0,Q4,00:15.8,0.2633333333333333,0,15.8,2015-03-03,ATL,HOU,Hawks,Rockets
21400890,CC,away,home,Foul: Shooting,2015,0,Q4,01:37.0,1.6166666666666667,1,37.0,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,CC,,,Instant Replay: Overturn Ruling,2015,0,Q4,01:36.0,1.6,1,36.0,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,CC,away,home,Foul: Personal,2015,0,Q4,00:18.7,0.3116666666666666,0,18.7,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,CC,home,away,Foul: Shooting,2015,0,Q4,00:14.5,0.2416666666666666,0,14.5,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,CC,away,home,Foul: Personal,2015,0,Q4,00:13.9,0.2316666666666666,0,13.9,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,INC,away,,Turnover: Traveling,2015,0,Q4,00:13.2,0.22,0,13.2,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,CC,away,home,Foul: Personal,2015,0,Q4,00:07.9,0.1316666666666666,0,7.9,2015-03-03,CHA,LAL,Hornets,Lakers
21400890,CC,away,home,Foul: Personal,2015,0,Q4,00:03.5,0.0583333333333333,0,3.5,2015-03-03,CHA,LAL,Hornets,Lakers
