attendance,away,away_score,away_team,date,gid,home,home_score,home_team,national_tv,playoff,season,beta,delta,home_IC,home_INC,away_IC,away_INC,n_plays,whos_favored,spread,id_spread,home_fav,home_covered,score_diff,period,nwg,ar,nwg_direction,spread_signed,cover_check,id_spread_match,score_home_match,score_away_match
16216,WAS,85,Wizards,2015-03-07,21400929,MIL,91,Bucks,no,0,2015,1,0,0,0,1,0,8,home,4.0,1.0,True,1.0,6.0,Pre-COVID,1,1.0,NWG > 0,-4.0,1.0,True,True,True
12218,NOP,114,Pelicans,2015-03-09,21400942,MIL,103,Bucks,no,0,2015,1,0,0,1,0,0,10,away,1.5,1.0,False,0.0,-11.0,Pre-COVID,1,1.0,NWG > 0,1.5,0.0,True,True,True
17771,DET,85,Pistons,2015-03-10,21400951,LAL,93,Lakers,no,0,2015,0,1,0,0,0,1,9,away,3.5,0.0,False,1.0,8.0,Pre-COVID,-1,0.0,NWG < 0,3.5,1.0,True,True,True
17121,NYK,82,Knicks,2015-03-10,21400950,UTA,87,Jazz,no,0,2015,0,0,0,0,0,0,13,home,13.0,0.0,True,0.0,5.0,Pre-COVID,0,,NWG = 0,-13.0,0.0,True,True,True
12400,CHI,104,Bulls,2015-03-11,21400953,PHI,95,76ers,no,0,2015,3,1,0,2,1,1,17,away,6.5,1.0,False,0.0,-9.0,Pre-COVID,2,0.75,NWG > 0,6.5,0.0,True,True,True
17135,MEM,92,Grizzlies,2015-03-11,21400954,BOS,95,Celtics,no,0,2015,0,1,0,0,0,2,13,away,6.5,0.0,False,1.0,3.0,Pre-COVID,-1,0.0,NWG < 0,6.5,1.0,True,True,True
12593,ORL,91,Magic,2015-03-11,21400956,MIL,97,Bucks,no,0,2015,0,0,0,0,0,0,7,home,8.0,0.0,True,0.0,6.0,Pre-COVID,0,,NWG = 0,-8.0,0.0,True,True,True
18581,CLE,128,Cavaliers,2015-03-12,21400964,SAS,125,Spurs,TNT,0,2015,2,0,0,2,0,0,26,away,1.5,1.0,False,0.0,-3.0,Pre-COVID,2,1.0,NWG > 0,1.5,0.0,True,True,True
15729,MIL,103,Bucks,2015-03-12,21400962,IND,109,Pacers,no,0,2015,1,1,0,0,1,2,25,home,7.0,0.0,True,0.0,6.0,Pre-COVID,0,0.5,NWG = 0,-7.0,0.0,True,True,True
18624,ORL,88,Magic,2015-03-13,21400969,BOS,95,Celtics,no,0,2015,0,2,0,0,0,2,12,home,5.0,1.0,True,1.0,7.0,Pre-COVID,-2,0.0,NWG < 0,-5.0,1.0,True,True,True
